sid	path	kind	role	top3
SRC-BF09C8BEAE3D	stages/stage10/external-review-synthesis.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-216:20.8,SR-STR-032:19.6,SR-STR-156:19.5
SRC-7C1470298987	stages/stage12-ex/critical-chain.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:347.4,SR-STR-223:192.6,SR-STR-165:185.8
SRC-67E3760449EB	stages/stage12-ex/roadmap.md	ROADMAP	PLANNED_OR_OPEN_STRUCTURE	SR-STR-222:345.6,SR-STR-162:150.7,SR-STR-223:142.8
SRC-E0FCF27286D5	stages/stage12/README.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:104.4,SR-STR-215:53.1,SR-STR-165:49.4
SRC-506BBA15DEC2	stages/stage12/final.md	FINAL	CERTIFIED_SYNTHESIS	SR-STR-222:267.6,SR-STR-223:133.4,SR-STR-225:130.9
SRC-4D55091C3753	stages/stage12/manifest-r09.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:160.8,SR-STR-225:89.7,SR-STR-206:78.4
SRC-43B202788DC8	stages/stage12/post_stage13_publication_plan.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:121.9,SR-STR-169:69.4,SR-STR-223:58.5
SRC-99A6201E04B1	stages/stage13/README.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:25.6,SR-STR-041:14.6,SR-STR-191:14.3
SRC-1FC4EE10022E	stages/stage13/data/13-13fr/README.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:21.7,SR-STR-200:17.5,SR-STR-165:15.9
SRC-5AF47D4B840C	stages/stage13/final.md	FINAL	CERTIFIED_SYNTHESIS	SR-STR-222:330.6,SR-STR-223:196.0,SR-STR-225:170.7
SRC-D6AC0B3B11B9	stages/stage13/manifest-r07.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-207:15.6,SR-STR-041:14.6,SR-STR-222:12.5
SRC-5C184D934DA1	stages/stage13/scripts/13-13fo/README.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:32.7,SR-STR-223:19.2,SR-STR-165:18.3
SRC-402DCABCDE9F	stages/stage02/data/geometry/audit_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-154:19.8,SR-STR-138:18.5,SR-STR-135:18.5
SRC-8D574AE4EE9D	stages/stage02/data/kummer/classification.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-166:34.2,SR-STR-176:33.8,SR-STR-069:33.1
SRC-7A9C7FB97017	stages/stage02/data/kummer/report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-154:33.2,SR-STR-156:29.2,SR-STR-222:27.1
SRC-7FED276095BC	stages/stage03/data/focus_lambda_16_21_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-111:41.7,SR-STR-113:36.0,SR-STR-156:31.2
SRC-71D79945F189	stages/stage03/data/relations.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:56.5,SR-STR-223:50.2,SR-STR-069:41.9
SRC-6B09EF34312D	stages/stage03/data/report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-223:65.5,SR-STR-111:48.4,SR-STR-222:47.4
SRC-981937031913	stages/stage04/data/all_fibers_pari_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-069:25.5,SR-STR-222:16.3,SR-STR-192:14.6
SRC-F60ED545F569	stages/stage04/data/pari_rank_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-199:14.7,SR-STR-197:14.7,SR-STR-175:14.7
SRC-6AD2C34282FB	stages/stage05/data/report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-223:45.0,SR-STR-154:36.9,SR-STR-141:30.3
SRC-E2705C302CA6	stages/stage06/data/height_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-111:43.3,SR-STR-182:41.2,SR-STR-223:41.1
SRC-38034ED4EE23	stages/stage07/data/inverse_height_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-223:52.2,SR-STR-218:50.1,SR-STR-116:46.8
SRC-C23AF38A9114	stages/stage08/data/local_sieve_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:79.0,SR-STR-223:73.4,SR-STR-219:70.6
SRC-87CFB0F83F45	stages/stage09/data/divisor_chain_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-224:18.5,SR-STR-162:18.5,SR-STR-218:12.1
SRC-5907E78C3E75	stages/stage10/data/lower_bound_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:96.8,SR-STR-202:72.4,SR-STR-225:72.0
SRC-90B50FAB1456	stages/stage11/data/convolution_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:102.7,SR-STR-223:83.5,SR-STR-032:68.6
SRC-EA1F4CF84417	stages/stage12/archive/INDEX.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:94.1,SR-STR-218:62.4,SR-STR-223:62.1
SRC-3832AB40204C	stages/stage12/archive/data/2/hyperbola_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:84.1,SR-STR-169:77.6,SR-STR-165:69.4
SRC-34673609A28E	stages/stage12/archive/data/2b/average_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-223:94.3,SR-STR-200:62.7,SR-STR-145:62.5
SRC-7C37EC35394A	stages/stage12/archive/data/2c/gao_zhao_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-165:98.5,SR-STR-222:86.2,SR-STR-225:75.1
SRC-C0BBF7965361	stages/stage12/archive/data/2d/modular_hyperbola_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:223.8,SR-STR-223:155.1,SR-STR-165:138.9
SRC-F862D39ACDBC	stages/stage12/archive/data/2e/divisor_dyadic_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-225:145.0,SR-STR-223:144.6,SR-STR-222:141.8
SRC-340C394FDF50	stages/stage12/archive/data/2f/main_term_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:150.2,SR-STR-223:128.3,SR-STR-148:106.9
SRC-8EA6ED4AAF43	stages/stage12/archive/data/2g/uniform_error_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:305.3,SR-STR-223:225.1,SR-STR-225:168.0
SRC-D5BD149F3FC9	stages/stage12/archive/data/2h/poisson_split_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:354.8,SR-STR-166:211.3,SR-STR-225:195.3
SRC-7C024C9B1071	stages/stage12/archive/data/2i/exponent_budget_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:148.8,SR-STR-223:107.7,SR-STR-225:90.4
SRC-1917E70AEDBD	stages/stage12/archive/data/2j/boundary_layers_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:233.7,SR-STR-223:177.4,SR-STR-165:126.7
SRC-97F5FF513AD7	stages/stage12/archive/data/2k/final_remainder_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:201.0,SR-STR-148:113.5,SR-STR-216:113.3
SRC-21E8F38A5E3D	stages/stage12/archive/data/2l/dlb_hypotheses_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:59.9,SR-STR-165:43.7,SR-STR-031:36.6
SRC-036919750297	stages/stage12/archive/data/2m/iterated_selberg_delange_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-031:34.3,SR-STR-165:31.7,SR-STR-223:27.2
