sid	path	status	top_ids	neighbor_ids
SRC-3E64FADC77F8	stages/stage13/data/13-7/curved_wedge_asymptotic_report.json		SR-STR-039,SR-STR-156,SR-STR-227,SR-STR-143,SR-STR-145	
SRC-62981A5EAFAC	stages/stage13/data/13-7/deviation_scaling_report.json	complete,no_asymptotic,finite	SR-STR-196,SR-STR-227,SR-STR-194,SR-STR-139,SR-STR-142	
SRC-14C87329A04B	stages/stage13/data/13-7/exact_one_fixed_prime_sieve_report.json	finite	SR-STR-227,SR-STR-152,SR-STR-156,SR-STR-160,SR-STR-077	
SRC-E151FFC51921	stages/stage13/data/13-7/face_cuboid_coupled_kummer_report.json	fail,finite	SR-STR-151,SR-STR-195,SR-STR-156,SR-STR-057,SR-STR-152	
SRC-9C30922D9AA7	stages/stage13/data/13-7/face_cuboid_height_identity_report.json	fail,finite,pass	SR-STR-183,SR-STR-150,SR-STR-156,SR-STR-084,SR-STR-008	
SRC-700AB0A925FB	stages/stage13/data/13-7/face_cuboid_primitive_height_report.json	fail,finite	SR-STR-001,SR-STR-192,SR-STR-181,SR-STR-183,SR-STR-158	
SRC-140A0AC1285B	stages/stage13/data/13-7/face_cuboid_uniform_height_report.json	conditional	SR-STR-039,SR-STR-181,SR-STR-227,SR-STR-032,SR-STR-156	
SRC-A8150CE01020	stages/stage13/data/13-7/first_harmonic_scaling_report.json		SR-STR-018,SR-STR-006,SR-STR-004,SR-STR-033,SR-STR-005	
SRC-26AAB61005EF	stages/stage13/data/13-7/fixed_channel_reduction_report.json	proved,finite	SR-STR-217,SR-STR-148,SR-STR-186,SR-STR-015,SR-STR-105	
SRC-537C8BF6747C	stages/stage13/data/13-7/harmonic_uniformity_budget_report.json	final,finite	SR-STR-217,SR-STR-227,SR-STR-156,SR-STR-015,SR-STR-145	
SRC-98F9ED69DEEE	stages/stage13/data/13-7/hecke_first_harmonic_report.json	finite	SR-STR-227,SR-STR-197,SR-STR-148,SR-STR-195,SR-STR-145	
SRC-9D365532EAD1	stages/stage13/data/13-7/hecke_shell_channels_report.json	complete,finite,audit	SR-STR-001,SR-STR-154,SR-STR-227,SR-STR-152,SR-STR-076	
SRC-A86758B23E0E	stages/stage13/data/13-7/individual_category_asymptotic_report.json		SR-STR-227,SR-STR-156,SR-STR-077,SR-STR-150,SR-STR-005	
SRC-0A5CD8ACAD9E	stages/stage13/data/13-7/mechanism_scaling_report.json	complete,proved,no_asymptotic,finite	SR-STR-227,SR-STR-154,SR-STR-149,SR-STR-208,SR-STR-196	
SRC-45EC9658059E	stages/stage13/data/13-7/normalized_pure_g_limit_report.json	finite	SR-STR-227,SR-STR-018,SR-STR-216,SR-STR-033,SR-STR-005	
SRC-13BCB436DDC5	stages/stage13/data/13-7/overlap_face_cuboid_reduction_report.json	proved	SR-STR-143,SR-STR-227,SR-STR-142,SR-STR-005,SR-STR-039	
SRC-6AA31644717D	stages/stage13/data/13-7/overlap_face_cuboid_scaling_report.json	complete,finite	SR-STR-154,SR-STR-051,SR-STR-156,SR-STR-146,SR-STR-227	
SRC-F012D9969FDC	stages/stage13/data/13-7/pair_overlap_local_sieve_report.json	fail,finite,pass	SR-STR-077,SR-STR-183,SR-STR-158,SR-STR-195,SR-STR-217	
SRC-028AF5535B30	stages/stage13/data/13-7/parity_g_scaling_report.json	complete,finite	SR-STR-154,SR-STR-076,SR-STR-037,SR-STR-227,SR-STR-014	
SRC-A515D3078027	stages/stage13/data/13-7/primitive_support_finite_report.json	complete,finite	SR-STR-039,SR-STR-227,SR-STR-012,SR-STR-157,SR-STR-033	
SRC-1001172D1E29	stages/stage13/data/13-7/primitive_support_scale_report.json	finite	SR-STR-227,SR-STR-152,SR-STR-156,SR-STR-142,SR-STR-186	
SRC-DC70C3EC3D25	stages/stage13/data/13-7/rectangle_region_budget_report.json	candidate,finite	SR-STR-151,SR-STR-156,SR-STR-227,SR-STR-148,SR-STR-145	
SRC-1AF43FB1AFD8	stages/stage13/data/13-7/stage12_region_bridge_report.json	complete,finite	SR-STR-154,SR-STR-012,SR-STR-226,SR-STR-076,SR-STR-142	
SRC-66D4BD382BAF	stages/stage13/data/13-7/supported_richness_finite_report.json	finite	SR-STR-227,SR-STR-060,SR-STR-187,SR-STR-145,SR-STR-226	
SRC-ADF803FC2D11	stages/stage13/data/13-7/supported_richness_raw_asymptotic_report.json		SR-STR-227,SR-STR-226,SR-STR-148,SR-STR-101,SR-STR-149	
SRC-2B34BB5072B3	stages/stage13/data/13-7/uniform_rectangle_factorization_report.json	candidate,finite	SR-STR-156,SR-STR-196,SR-STR-080,SR-STR-186,SR-STR-185	
SRC-FE06266A6251	stages/stage13/data/13-8/bridge_ledger_report.json	pass	SR-STR-226,SR-STR-227,SR-STR-185,SR-STR-057,SR-STR-005	
SRC-8352DBBFBBA7	stages/stage13/data/13-8/final_cross_reference_audit_report.json	final,complete,audit,pass	SR-STR-226,SR-STR-005,SR-STR-227,SR-STR-041,SR-STR-004	
SRC-87B1B6D0B029	stages/stage13/data/13-9/main_structural_theorem_audit_report.json	finite,audit,pass	SR-STR-227,SR-STR-143,SR-STR-152,SR-STR-004,SR-STR-148	
