# idx | source | exact canonical | exact terms | referenced provenance cards
01 | SRC-B17EA4CAB19A | - | - | -
02 | SRC-D152AFDE68E7 | - | - | -
03 | SRC-31ECCC51B5EC | - | - | SR-STR-192
04 | SRC-9BE46184FD98 | - | - | -
05 | SRC-11FF1DA03F60 | - | - | -
06 | SRC-34357C89144D | - | - | SR-STR-178
07 | SRC-3A6AE24E9A50 | - | - | -
08 | SRC-FD8BB7D75A81 | - | - | -
09 | SRC-DC4B42656360 | - | - | SR-STR-203
10 | SRC-271B23A094BC | - | - | -
11 | SRC-A737A90DA693 | - | - | SR-STR-200,SR-STR-201,SR-STR-202
12 | SRC-8706E1BD4970 | - | - | SR-STR-205
13 | SRC-AA02CC6636EE | - | - | -
14 | SRC-2D9ACE18FA44 | - | - | -
15 | SRC-6F2224156F6D | - | - | -
16 | SRC-4C19EDD2C45C | - | - | SR-STR-205
17 | SRC-93D1DD7DB33B | - | - | SR-STR-037,SR-STR-086,SR-STR-156,SR-STR-162,SR-STR-163,SR-STR-164,SR-STR-165,SR-STR-170,SR-STR-177,SR-STR-180,SR-STR-181,SR-STR-186,SR-STR-188,SR-STR-191,SR-STR-192,SR-STR-193,SR-STR-194,SR-STR-195,SR-STR-196,SR-STR-197,SR-STR-198,SR-STR-199,SR-STR-200,SR-STR-201,SR-STR-202,SR-STR-203,SR-STR-204,SR-STR-205,SR-STR-206,SR-STR-207,SR-STR-208,SR-STR-209,SR-STR-210,SR-STR-211,SR-STR-212,SR-STR-213,SR-STR-214,SR-STR-215,SR-STR-218,SR-STR-219,SR-STR-221,SR-STR-222,SR-STR-224,SR-STR-225
18 | SRC-2CC9358CAB3B | - | - | SR-STR-183,SR-STR-191
19 | SRC-90BC6ED58CFD | - | - | SR-STR-198,SR-STR-199,SR-STR-201,SR-STR-202,SR-STR-204,SR-STR-205
20 | SRC-3AEFEFB64596 | - | - | -
21 | SRC-D9EAE9DB066D | - | - | SR-STR-204
22 | SRC-277060134CE0 | - | - | -
23 | SRC-B68EA36D261A | - | - | -
24 | SRC-4FA9492F2BA7 | - | - | SR-STR-199
25 | SRC-C5A6E6319BEA | - | - | SR-STR-193
26 | SRC-65AF5E8FF533 | - | - | SR-STR-201
27 | SRC-7BACAEC7C042 | - | - | SR-STR-203,SR-STR-204
28 | SRC-0984504D59CB | - | - | SR-STR-202
29 | SRC-7D34A12B451E | - | - | SR-STR-173,SR-STR-196
30 | SRC-6F0B9B8AE938 | - | - | SR-STR-186,SR-STR-194
31 | SRC-20F0B328B2A8 | - | - | -
32 | SRC-656FE82A62BF | - | - | -
33 | SRC-D64EDF6E24A2 | - | - | SR-STR-199
34 | SRC-E2A2D137C88E | - | - | SR-STR-199,SR-STR-200
35 | SRC-224C1748F41A | - | - | SR-STR-191
36 | SRC-458E6FB59825 | - | - | -
37 | SRC-ACB32921FE49 | - | - | -
38 | SRC-1597970996AA | - | - | SR-STR-202
39 | SRC-51D35BE26516 | - | - | SR-STR-196
40 | SRC-02BB491BD6DC | - | - | SR-STR-195
41 | SRC-56D90F4C0B7B | - | - | SR-STR-186,SR-STR-188
42 | SRC-2D2091E88C05 | - | - | SR-STR-200
43 | SRC-1C99310255FD | - | - | SR-STR-200,SR-STR-201
44 | SRC-5FD9640D12A0 | - | - | -
45 | SRC-2294A84C2298 | - | - | SR-STR-200
46 | SRC-66B73AE9B43D | - | - | SR-STR-198,SR-STR-199
47 | SRC-8E4C7B779EEC | - | - | SR-STR-196,SR-STR-197
48 | SRC-57C37F668508 | - | - | SR-STR-205
49 | SRC-EB01805D235C | - | - | SR-STR-167
50 | SRC-3445860A96A6 | - | - | SR-STR-167,SR-STR-204,SR-STR-205,SR-STR-206,SR-STR-222
51 | SRC-AAAAAF11B569 | - | - | -
52 | SRC-C038B347DEA0 | - | - | SR-STR-198,SR-STR-201,SR-STR-202,SR-STR-204,SR-STR-205
53 | SRC-EF8B2471511A | - | - | SR-STR-202
54 | SRC-44BBCEF90F0E | - | - | SR-STR-201,SR-STR-202
55 | SRC-5A937251EDB7 | - | - | SR-STR-201,SR-STR-202
56 | SRC-D75CFEFDF10F | - | - | SR-STR-201,SR-STR-205
57 | SRC-95D2850304B2 | - | - | SR-STR-204,SR-STR-205
58 | SRC-8BE9B7D36F61 | - | - | SR-STR-204
59 | SRC-FB1BDA67DDE8 | - | - | SR-STR-198
60 | SRC-41CD367FBC48 | - | - | SR-STR-198,SR-STR-199
