# idx | source | stage labels | reviewed archive lineage
01 | SRC-B17EA4CAB19A | 4ai | -
02 | SRC-D152AFDE68E7 | 4bq | 14-4bq:SRC-08119F78C05D:DUPLICATE_SOURCE
03 | SRC-31ECCC51B5EC | 4ba | 14-4ba:SRC-3C39FF0592AC:SR-STR-192
04 | SRC-9BE46184FD98 | 4az | 14-4az:SRC-5AB3E3AE31BF:DUPLICATE_SOURCE
05 | SRC-11FF1DA03F60 | - | -
06 | SRC-34357C89144D | s5b,4av | 14-s5b:SRC-710AE2DEA13F:SR-STR-178 ; 14-4av:SRC-6C086090C4BF:DUPLICATE_SOURCE
07 | SRC-3A6AE24E9A50 | 4bf | 14-4bf:SRC-0E4E1F789B63:DUPLICATE_SOURCE
08 | SRC-FD8BB7D75A81 | 4bk | 14-4bk:SRC-CDD0C503CD12:DUPLICATE_SOURCE
09 | SRC-DC4B42656360 | 4de,s7,4df | 14-4de:SRC-4094A7BC2387:SR-STR-203 ; 14-4df:SRC-00DE30FD8FFF:SR-STR-203
10 | SRC-271B23A094BC | 4bp | 14-4bp:SRC-73BA1ED2CC68:DUPLICATE_SOURCE
11 | SRC-A737A90DA693 | 4cu,4ct,s7,4cs,4cr,X10,4cv | 14-4cu:SRC-F1E6D263DDD1:SR-STR-201 ; 14-4ct:SRC-64CA1A355561:SR-STR-201 ; 14-4cs:SRC-E3776FE75E49:SR-STR-200 ; 14-4cr:SRC-8995EC34AA4B:SR-STR-200 ; 14-X10:SRC-56DDFAA7EB3B:SR-STR-202 ; 14-4cv:SRC-F2F9CFFBF93E:SR-STR-201
12 | SRC-8706E1BD4970 | 4dm,4dn | 14-4dm:SRC-FFCDC4A031D8:SR-STR-205 ; 14-4dn:SRC-DDDD68D273A6:SR-STR-205
13 | SRC-AA02CC6636EE | 4bl | 14-4bl:SRC-06BA3C36DFA8:DUPLICATE_SOURCE
14 | SRC-2D9ACE18FA44 | 4bo | 14-4bo:SRC-378A39EE1B10:DUPLICATE_SOURCE
15 | SRC-6F2224156F6D | 4bh | 14-4bh:SRC-025B1E368C75:DUPLICATE_SOURCE
16 | SRC-4C19EDD2C45C | 4dj,4dk | 14-4dj:SRC-F6EEAA355A0E:SR-STR-205 ; 14-4dk:SRC-5E04E5947F3F:SR-STR-205
17 | SRC-93D1DD7DB33B | 4ai,4aj | -
18 | SRC-2CC9358CAB3B | 4an,s5f,4ap | 14-4an:SRC-3C992B32D1B8:DUPLICATE_SOURCE ; 14-s5f:SRC-25B1844F7B9C:SR-STR-183 ; 14-4ap:SRC-5EFB34B30D5B:SR-STR-191
19 | SRC-90BC6ED58CFD | 4ck,4ci,4cj,s7,X1,4cl | 14-4ck:SRC-D18F35526118:SR-STR-199 ; 14-4ci:SRC-7803F6FC4DAD:SR-STR-198 ; 14-4cj:SRC-07771793A9D5:SR-STR-198 ; 14-X1:SRC-AB243D1C78FE:SR-STR-198 ; 14-4cl:SRC-82922D32C736:SR-STR-199
20 | SRC-3AEFEFB64596 | 4bj | 14-4bj:SRC-40EC6622CFE9:DUPLICATE_SOURCE
21 | SRC-D9EAE9DB066D | 4dh,s7,4di | 14-4dh:SRC-C1F9A3505094:SR-STR-204 ; 14-4di:SRC-AB65577E8F36:SR-STR-204
22 | SRC-277060134CE0 | 4ah | -
23 | SRC-B68EA36D261A | 4an | 14-4an:SRC-3C992B32D1B8:DUPLICATE_SOURCE
24 | SRC-4FA9492F2BA7 | 4cn,4co | 14-4cn:SRC-85EB99F8A551:SR-STR-199 ; 14-4co:SRC-8BB636AD9968:SR-STR-199
25 | SRC-C5A6E6319BEA | 4be | 14-4be:SRC-278F09F7EF87:DUPLICATE_SOURCE
26 | SRC-65AF5E8FF533 | 4cv,4cw | 14-4cv:SRC-F2F9CFFBF93E:SR-STR-201 ; 14-4cw:SRC-A2399C7BB9EF:SR-STR-201
27 | SRC-7BACAEC7C042 | 4df,s7,4dg | 14-4df:SRC-00DE30FD8FFF:SR-STR-203 ; 14-4dg:SRC-4F5FF53F3C8B:SR-STR-204
28 | SRC-0984504D59CB | 4cz,4da | 14-4cz:SRC-84EB12CDE2BB:SR-STR-202 ; 14-4da:SRC-72C61ACED17F:SR-STR-202
29 | SRC-7D34A12B451E | 4cb,s7,4cc | 14-4cb:SRC-CF13629B0544:SR-STR-196 ; 14-4cc:SRC-1A8F55BB91E5:SR-STR-196
30 | SRC-6F0B9B8AE938 | 4bw,4bx | 14-4bw:SRC-83C0724C6279:SR-STR-194 ; 14-4bx:SRC-1105593E0CB4:SR-STR-186
31 | SRC-20F0B328B2A8 | - | -
32 | SRC-656FE82A62BF | 4al | -
33 | SRC-D64EDF6E24A2 | 4cm,4cn | 14-4cm:SRC-A00CA1DF92B6:SR-STR-199 ; 14-4cn:SRC-85EB99F8A551:SR-STR-199
34 | SRC-E2A2D137C88E | 4co,4cp | 14-4co:SRC-8BB636AD9968:SR-STR-199 ; 14-4cp:SRC-E56DC800DD54:SR-STR-200
35 | SRC-224C1748F41A | 4as | 14-4as:SRC-705C72AC064C:SR-STR-191
36 | SRC-458E6FB59825 | 4ay | 14-4ay:SRC-7C5318D8ECCB:DUPLICATE_SOURCE
37 | SRC-ACB32921FE49 | 4ag | -
38 | SRC-1597970996AA | 4da,4db | 14-4da:SRC-72C61ACED17F:SR-STR-202 ; 14-4db:SRC-BA14E2FEC20D:SR-STR-202
39 | SRC-51D35BE26516 | 4bz,4ca | 14-4bz:SRC-ADA99F26F5D9:SR-STR-196 ; 14-4ca:SRC-A7746220DD2D:SR-STR-196
40 | SRC-02BB491BD6DC | 4bu | 14-4bu:SRC-319159641DAB:SR-STR-195
41 | SRC-56D90F4C0B7B | 4bx,4by | 14-4bx:SRC-1105593E0CB4:SR-STR-186 ; 14-4by:SRC-CBE4FA0AEE04:SR-STR-188
42 | SRC-2D2091E88C05 | 4cp,4cq | 14-4cp:SRC-E56DC800DD54:SR-STR-200 ; 14-4cq:SRC-DA249A723801:SR-STR-200
43 | SRC-1C99310255FD | 4ct,4cs,s7,4cu | 14-4ct:SRC-64CA1A355561:SR-STR-201 ; 14-4cs:SRC-E3776FE75E49:SR-STR-200 ; 14-4cu:SRC-F1E6D263DDD1:SR-STR-201
44 | SRC-5FD9640D12A0 | 4bi | -
45 | SRC-2294A84C2298 | 4cr,4cs | 14-4cr:SRC-8995EC34AA4B:SR-STR-200 ; 14-4cs:SRC-E3776FE75E49:SR-STR-200
46 | SRC-66B73AE9B43D | 4cj,4ck | 14-4cj:SRC-07771793A9D5:SR-STR-198 ; 14-4ck:SRC-D18F35526118:SR-STR-199
47 | SRC-8E4C7B779EEC | 4cd | 14-4cd:SRC-68152B81F90E:SR-STR-197
48 | SRC-57C37F668508 | 4dn,4do | 14-4dn:SRC-DDDD68D273A6:SR-STR-205 ; 14-4do:SRC-F28111A26A02:SR-STR-205
49 | SRC-EB01805D235C | AM | 14-AM:SRC-3814E81BF7E2:SR-STR-167
50 | SRC-3445860A96A6 | AM1,X15,Work,4dl,s7,t95,t96,q11,4dm,AM,4dn,t97 | 14-AM1:SRC-2FD99B832F30:SR-STR-167 ; 14-X15:SRC-3623F032847F:SR-STR-204 ; 14-4dl:SRC-CE66C96C076D:SR-STR-205 ; 14-t95:SRC-0250754563F3:SR-STR-205,SR-STR-222 ; 14-t96:SRC-D5FCB3F9E42D:SR-STR-205,SR-STR-206,SR-STR-222 ; 14-4dm:SRC-FFCDC4A031D8:SR-STR-205 ; 14-AM:SRC-3814E81BF7E2:SR-STR-167 ; 14-4dn:SRC-DDDD68D273A6:SR-STR-205 ; 14-t97:SRC-900A052B33F8:SR-STR-206,SR-STR-222
51 | SRC-AAAAAF11B569 | X0 | 14-X0:SRC-703C3D0C91C6:NO_DISTINCT_STRUCTURE
52 | SRC-C038B347DEA0 | X1 | 14-X1:SRC-AB243D1C78FE:SR-STR-198
53 | SRC-EF8B2471511A | X10,X11 | 14-X10:SRC-56DDFAA7EB3B:SR-STR-202 ; 14-X11:SRC-C19CA93A41A8:SR-STR-202
54 | SRC-44BBCEF90F0E | X11,s7,X12 | 14-X11:SRC-C19CA93A41A8:SR-STR-202 ; 14-X12:SRC-02901D30BA3A:SR-STR-202
55 | SRC-5A937251EDB7 | X12,X11,s7,4cu,X13 | 14-X12:SRC-02901D30BA3A:SR-STR-202 ; 14-X11:SRC-C19CA93A41A8:SR-STR-202 ; 14-4cu:SRC-F1E6D263DDD1:SR-STR-201 ; 14-X13:SRC-CCF8EFFB1AE0:SR-STR-201
56 | SRC-D75CFEFDF10F | X13,X14 | 14-X13:SRC-CCF8EFFB1AE0:SR-STR-201 ; 14-X14:SRC-18BF44EC0F58:SR-STR-205
57 | SRC-95D2850304B2 | X14,X15 | 14-X14:SRC-18BF44EC0F58:SR-STR-205 ; 14-X15:SRC-3623F032847F:SR-STR-204
58 | SRC-8BE9B7D36F61 | X15,X16 | 14-X15:SRC-3623F032847F:SR-STR-204
59 | SRC-FB1BDA67DDE8 | X2 | 14-X2:SRC-CD0C85946C31:SR-STR-198
60 | SRC-41CD367FBC48 | X3,X2 | 14-X3:SRC-28EA19EBD7B4:SR-STR-199 ; 14-X2:SRC-CD0C85946C31:SR-STR-198
