# idx | source | path | top5 | named | locked
01 | SRC-B17EA4CAB19A | stages/stage14/data/14-4/kummer_height_audit.json | SR-STR-223,SR-STR-222,SR-STR-163,SR-STR-219,SR-STR-155 | - | "thin_zero_density_for_Stage14_raw_K3_proved": false, ; "T_o_sqrtB_proved": false
02 | SRC-D152AFDE68E7 | stages/stage14/data/14-4/largest_incidence_prime_power_summary.json | SR-STR-222,SR-STR-162,SR-STR-223,SR-STR-219,SR-STR-163 | - | "full_direct_post_local_positive_saving_proved": false, ; "sqrt_B_upper_bound_proved": false, ; "sqrt_B_asymptotic_proved": false,
03 | SRC-31ECCC51B5EC | stages/stage14/data/14-4/linear_boundary_normal_form_summary.json | SR-STR-222,SR-STR-161,SR-STR-165,SR-STR-162,SR-STR-206 | - | "full_linear_six_dyadic_summation_proved": false ; "FULL_LINEAR_SIX_DYADIC_SUMMATION_PROVED": false, ; "EXPLICIT_NONTRIVIAL_RHO_LOC_PROVED": false, ; "EXPLICIT_E_LOC_PROVED": false,
04 | SRC-9BE46184FD98 | stages/stage14/data/14-4/linear_slicing_dispersion_summary.json | SR-STR-222,SR-STR-218,SR-STR-209,SR-STR-206,SR-STR-165 | - | "FROZEN_STATE_POINTWISE_DISCREPANCY_BOUND_PROVED": true, ; "FROZEN_STATE_L2_DISPERSION_PROVED": true, ; "SIX_LINEAR_MEDIUM_DISCREPANCY_POWER_SAVING_PROVED": true, ; "SIX_LINEAR_INTERIOR_FULL_MODE_POWER_SAVING_PROVED": true, ; "SIX_LINEAR_INTERIOR_DYADIC_STATE_SUMMATION_PROVED": true,
05 | SRC-11FF1DA03F60 | stages/stage14/data/14-4/local_bottleneck_refocus_summary.json | SR-STR-191,SR-STR-223,SR-STR-219,SR-STR-218,SR-STR-222 | - | "EXPLICIT_NONTRIVIAL_RHO_LOC_PROVED": true, ; "EXPLICIT_COMPLETE_E_LOC_PROVED": true, ; "ACTIVE_PHYSICAL_BASE_POWER_SAVING_UPPER_BOUND_PROVED": true,
06 | SRC-34357C89144D | stages/stage14/data/14-4/local_indicator_obstruction_summary.json | SR-STR-222,SR-STR-162,SR-STR-225,SR-STR-163,SR-STR-165 | - | "target_proved": false ; "RECIPROCAL_DIVISOR_BILINEAR_BOUND_PROVED": false, ; "EXPLICIT_NONTRIVIAL_RHO_LOC_PROVED": false, ; "EXPLICIT_E_LOC_PROVED": false, ; "POSITIVE_GLOBAL_SAVING_EXPONENT_PROVED": false,
07 | SRC-3A6AE24E9A50 | stages/stage14/data/14-4/local_retainer_instantiation_summary.json | SR-STR-191,SR-STR-223,SR-STR-222,SR-STR-219,SR-STR-162 | - | "D_loc_separate_power_saving_proved": false, ; "arbitrary_weight_local_retainer_proved": false, ; "family_large_sieve_theorem_proved": false, ; "positive_global_saving_exponent_proved": false, ; "positive_height_saving_exponent_proved": false,
08 | SRC-FD8BB7D75A81 | stages/stage14/data/14-4/ls_reunification_summary.json | SR-STR-222,SR-STR-189,SR-STR-225,SR-STR-223,SR-STR-182 | - | "current_physical_upper_bound_exponent": "41/42", ; "full_direct_post_local_positive_saving_proved": false, ; "sqrt_B_upper_bound_proved": false, ; "sqrt_B_asymptotic_proved": false,
09 | SRC-DC4B42656360 | stages/stage14/data/14-4/mixed_fourth_root_reactivation_summary.json | SR-STR-203,SR-STR-222,SR-STR-202,SR-STR-198,SR-STR-200 | SquareRootQuarterScaleMixedFourthRootFullResidualPhysicalCompletionDensity;SquareRootQuarterScaleMixedFourthRootSignedResidualPhysicalCompletionIncidence | "current_physical_upper_bound_exponent": "1/2", ; "sqrt_B_upper_bound_proved": true, ; "strict_subsqrt_power_saving_proved": false, ; "new_whole_family_power_saving_proved": false, ; "remaining_receiver": "SquareRootQuarterScaleMixedFourthRootFullResidualPhysicalCompletionDensity",
10 | SRC-271B23A094BC | stages/stage14/data/14-4/normalized_core_moving_q_summary.json | SR-STR-222,SR-STR-081,SR-STR-200,SR-STR-223,SR-STR-201 | - | "full_direct_post_local_positive_saving_proved": false, ; "current_physical_upper_bound_exponent": "41/42", ; "sqrt_B_upper_bound_proved": false,
11 | SRC-A737A90DA693 | stages/stage14/data/14-4/orientation_linear_product_19_32_summary.json | SR-STR-222,SR-STR-200,SR-STR-201,SR-STR-223,SR-STR-202 | NineteenThirtySecondsJointCoreCayleyResidualLinearProductIncidence | "remaining_receiver": "NineteenThirtySecondsJointCoreCayleyResidualLinearProductIncidence",
12 | SRC-8706E1BD4970 | stages/stage14/data/14-4/pairwise_zero_centered_split_summary.json | SR-STR-222,SR-STR-205,SR-STR-225,SR-STR-209,SR-STR-223 | - | "strict_subsqrt_power_saving_proved": false, ; "common_pairwise_covariance_zero_centered_recentering_proved": true,
13 | SRC-AA02CC6636EE | stages/stage14/data/14-4/physical_denominator_selector_summary.json | SR-STR-222,SR-STR-177,SR-STR-223,SR-STR-219,SR-STR-162 | - | "current_physical_upper_bound_exponent": "41/42", ; "full_direct_post_local_positive_saving_proved": false, ; "sqrt_B_upper_bound_proved": false, ; "sqrt_B_asymptotic_proved": false,
14 | SRC-2D9ACE18FA44 | stages/stage14/data/14-4/physical_pair_bijection_active_direction_summary.json | SR-STR-219,SR-STR-222,SR-STR-162,SR-STR-223,SR-STR-225 | - | "positive_cross_square_converse_proved": true, ; "full_direct_post_local_positive_saving_proved": false, ; "sqrt_B_upper_bound_proved": false,
