# idx | source | producer | archive review
01 | SRC-B17EA4CAB19A | 14-4ah | -
02 | SRC-D152AFDE68E7 | 14-4bp | SRC-73BA1ED2CC68:DUPLICATE_SOURCE
03 | SRC-31ECCC51B5EC | 14-4az | SRC-5AB3E3AE31BF:DUPLICATE_SOURCE
04 | SRC-9BE46184FD98 | 14-4ay | SRC-7C5318D8ECCB:DUPLICATE_SOURCE
05 | SRC-11FF1DA03F60 | 14-4bf | SRC-0E4E1F789B63:DUPLICATE_SOURCE
06 | SRC-34357C89144D | 14-4au | SRC-754A9886D991:DUPLICATE_SOURCE
07 | SRC-3A6AE24E9A50 | 14-4be | SRC-278F09F7EF87:DUPLICATE_SOURCE
08 | SRC-FD8BB7D75A81 | 14-4bj | SRC-40EC6622CFE9:DUPLICATE_SOURCE
09 | SRC-DC4B42656360 | 14-4de | SRC-4094A7BC2387:SR-STR-203
10 | SRC-271B23A094BC | 14-4bo | SRC-378A39EE1B10:DUPLICATE_SOURCE
11 | SRC-A737A90DA693 | 14-4cu | SRC-F1E6D263DDD1:SR-STR-201
12 | SRC-8706E1BD4970 | 14-4dm | SRC-FFCDC4A031D8:SR-STR-205
13 | SRC-AA02CC6636EE | 14-4bk | SRC-CDD0C503CD12:DUPLICATE_SOURCE
14 | SRC-2D9ACE18FA44 | 14-4bn | SRC-515E11569074:DUPLICATE_SOURCE
15 | SRC-6F2224156F6D | 14-4bg | SRC-50BE1995C839:DUPLICATE_SOURCE
16 | SRC-4C19EDD2C45C | 14-4dj | SRC-F6EEAA355A0E:SR-STR-205
17 | SRC-93D1DD7DB33B | 14-4ai | -
18 | SRC-2CC9358CAB3B | 14-4ao | SRC-91D2993FDD3F:DUPLICATE_SOURCE
19 | SRC-90BC6ED58CFD | 14-4ck | SRC-D18F35526118:SR-STR-199
20 | SRC-3AEFEFB64596 | 14-4bi | -
21 | SRC-D9EAE9DB066D | 14-4dh | SRC-C1F9A3505094:SR-STR-204
22 | SRC-277060134CE0 | 14-4ag | -
23 | SRC-B68EA36D261A | 14-4am | -
24 | SRC-4FA9492F2BA7 | 14-4cn | SRC-85EB99F8A551:SR-STR-199
25 | SRC-C5A6E6319BEA | 14-4bd | SRC-B5D902056BF9:SR-STR-193
26 | SRC-65AF5E8FF533 | 14-4cv | SRC-F2F9CFFBF93E:SR-STR-201
27 | SRC-7BACAEC7C042 | 14-4df | SRC-00DE30FD8FFF:SR-STR-203
28 | SRC-0984504D59CB | 14-4cz | SRC-84EB12CDE2BB:SR-STR-202
29 | SRC-7D34A12B451E | 14-4cb | SRC-CF13629B0544:SR-STR-196
30 | SRC-6F0B9B8AE938 | 14-4bw | SRC-83C0724C6279:SR-STR-194
31 | SRC-20F0B328B2A8 | 14-4aj | -
32 | SRC-656FE82A62BF | 14-4ak | -
33 | SRC-D64EDF6E24A2 | 14-4cm | SRC-A00CA1DF92B6:SR-STR-199
34 | SRC-E2A2D137C88E | 14-4co | SRC-8BB636AD9968:SR-STR-199
35 | SRC-224C1748F41A | 14-4ar | SRC-3EDF8CE45706:SR-STR-191
36 | SRC-458E6FB59825 | 14-4ax | SRC-5CD6BE667786:DUPLICATE_SOURCE
37 | SRC-ACB32921FE49 | 14-4af | -
38 | SRC-1597970996AA | 14-4da | SRC-72C61ACED17F:SR-STR-202
39 | SRC-51D35BE26516 | 14-4bz | SRC-ADA99F26F5D9:SR-STR-196
40 | SRC-02BB491BD6DC | 14-4bt | SRC-728D08678B51:SR-STR-195
41 | SRC-56D90F4C0B7B | 14-4bx | SRC-1105593E0CB4:SR-STR-186
42 | SRC-2D2091E88C05 | 14-4cp | SRC-E56DC800DD54:SR-STR-200
43 | SRC-1C99310255FD | 14-4ct | SRC-64CA1A355561:SR-STR-201
44 | SRC-5FD9640D12A0 | 14-4bh | SRC-025B1E368C75:DUPLICATE_SOURCE
45 | SRC-2294A84C2298 | 14-4cr | SRC-8995EC34AA4B:SR-STR-200
46 | SRC-66B73AE9B43D | 14-4cj | SRC-07771793A9D5:SR-STR-198
47 | SRC-8E4C7B779EEC | 14-4cc | SRC-1A8F55BB91E5:SR-STR-196
48 | SRC-57C37F668508 | 14-4dn | SRC-DDDD68D273A6:SR-STR-205
49 | SRC-EB01805D235C | 14-AM | SRC-3814E81BF7E2:SR-STR-167
50 | SRC-3445860A96A6 | 14-AM1 | SRC-2FD99B832F30:SR-STR-167
51 | SRC-AAAAAF11B569 | 14-X0 | SRC-703C3D0C91C6:NO_DISTINCT_STRUCTURE
52 | SRC-C038B347DEA0 | 14-X1 | SRC-AB243D1C78FE:SR-STR-198
53 | SRC-EF8B2471511A | 14-X10 | SRC-56DDFAA7EB3B:SR-STR-202
54 | SRC-44BBCEF90F0E | 14-X11 | SRC-C19CA93A41A8:SR-STR-202
55 | SRC-5A937251EDB7 | 14-X12 | SRC-02901D30BA3A:SR-STR-202
56 | SRC-D75CFEFDF10F | 14-X13 | SRC-CCF8EFFB1AE0:SR-STR-201
57 | SRC-95D2850304B2 | 14-X14 | SRC-18BF44EC0F58:SR-STR-205
58 | SRC-8BE9B7D36F61 | 14-X15 | SRC-3623F032847F:SR-STR-204
59 | SRC-FB1BDA67DDE8 | 14-X2 | SRC-CD0C85946C31:SR-STR-198
60 | SRC-41CD367FBC48 | 14-X3 | SRC-28EA19EBD7B4:SR-STR-199
