B,N2,N2_over_B_quarter,N2_over_sqrt_B,alpha_eff_from_previous
1000,2,0.355655882,0.063245553,
2000,5,0.747674391,0.111803399,1.321928095
5000,15,1.783810673,0.212132034,1.198977847
10000,25,2.500000000,0.250000000,0.736965594
20000,42,3.531764944,0.296984848,0.748461233
50000,62,4.146189891,0.277272429,0.425044970
100000,89,5.004837794,0.281442712,0.521537121
200000,116,5.485301332,0.259383885,0.382247564
500000,188,7.069933815,0.265872150,0.526963501
1000000,255,8.063808033,0.255000000,0.439764585
500000000,3495,23.372473659,0.156301152,0.421237360
